Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath
1,60,RL,10.427529858031825,Pave,3,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,6,4,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,2,4,PConc,2,3,3,2,706,5,0,150,198.2842946789372,GasA,0,Y,4,856,854,0,7.600483033991714,1,0,2,1,3,1,2,8,6,0,Attchd,1,2,204.51791455830377,4,4,2,0,61,0,0,0,0,2,2008,WD,Normal,208500,20.729441783384022,11.124668054579045,3.5
2,20,RL,10.596444241317196,Pave,3,Lvl,0,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,5,7,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,2,3,1,0,978,5,0,284,264.6011447467822,GasA,0,Y,4,1262,0,0,7.284378619202984,0,1,2,0,3,1,3,6,6,1,Attchd,1,2,177.32963585277696,4,4,2,298,0,0,0,0,0,5,2007,WD,Normal,181500,20.638826130979744,23.806809236567656,2.5
3,60,RL,10.807339090011075,Pave,0,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,6,4,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,2,4,PConc,2,3,2,2,486,5,0,434,209.20678646616207,GasA,0,Y,4,920,866,0,7.645778558512591,1,0,2,1,3,1,2,6,6,1,Attchd,1,2,222.57973325274125,4,4,2,0,42,0,0,0,0,9,2008,WD,Normal,223500,21.023347123120125,9.197105420820764,3.5
4,70,RL,10.5895182647383,Pave,0,Lvl,0,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,6,4,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,3,4,BrkTil,3,1,3,0,216,5,0,540,180.77992999508868,GasA,2,Y,4,961,756,0,7.604737812390022,1,0,1,0,3,1,2,7,6,1,Detchd,2,3,232.66436241693458,4,4,2,0,35,272,0,0,0,2,2006,WD,Abnorml,140000,20.52719273400907,24.135762466036685,2.0
5,60,RL,11.124528443317693,Pave,0,Lvl,0,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,7,4,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,2,4,PConc,2,3,0,2,655,5,0,490,246.15077591754272,GasA,0,Y,4,1145,1053,0,7.862154397218228,1,0,2,1,4,1,2,9,6,1,Attchd,1,3,288.4519917420266,4,4,2,192,84,0,0,0,0,12,2008,WD,Normal,250000,22.227135519186003,22.977765261172948,3.5
6,50,RL,11.110807256745467,Pave,0,Lvl,0,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,4,4,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,Wood,2,3,3,2,732,5,0,64,187.84985781491872,GasA,0,Y,4,796,566,0,7.363668452038529,1,0,1,1,1,1,3,5,6,0,Attchd,2,2,183.58894023363393,4,4,2,40,30,0,320,0,0,10,2009,WD,Normal,143000,19.794638068359657,26.93737720888157,2.5
7,20,RL,10.661736799876977,Pave,3,Lvl,0,Inside,0,Somerst,Norm,Norm,1Fam,1Story,7,4,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,2,4,PConc,0,3,0,2,1369,5,0,317,328.09212266473514,GasA,0,Y,4,1694,0,0,7.590692461029397,1,0,2,0,3,1,2,7,6,1,Attchd,1,2,230.89218313219612,4,4,2,255,57,0,0,0,0,8,2007,WD,Normal,307000,22.291343414301952,24.316113150007045,3.0
8,60,RL,10.70044329149804,Pave,0,Lvl,0,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,4,CBlock,2,3,2,0,859,1,32,216,240.05436106019945,GasA,0,Y,4,1107,983,0,7.8096080884679475,1,0,2,1,3,1,3,7,6,2,Attchd,1,2,184.8348505634318,4,4,2,235,204,228,0,0,0,11,2009,WD,Normal,200000,21.968215306987585,34.351579944294734,3.5
9,50,RM,10.00342403459865,Pave,3,Lvl,0,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,6,4,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,3,4,BrkTil,3,3,3,5,0,5,0,952,214.59346343481334,GasA,2,Y,1,1022,752,0,7.638755499746789,0,0,2,0,2,2,3,8,2,2,Detchd,2,2,179.83938808533648,1,4,2,90,0,205,0,0,0,4,2008,WD,Abnorml,129900,21.06435614852805,23.69588644310695,2.0
10,190,RL,10.256134786666577,Pave,3,Lvl,0,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,4,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,BrkTil,3,3,3,2,851,5,0,140,221.09525059405325,GasA,0,Y,4,1077,0,0,7.1196773907163395,1,0,1,0,2,2,3,5,6,2,Attchd,1,1,91.66063660230506,2,4,2,0,4,0,0,0,0,1,2008,WD,Normal,118000,19.570018356937872,2.3019241468270097,2.0
